points,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_name,team_long_name1
0,79,9996,8342,5,1,1,2008/2009,Club Brugge KV,Royal Excel Mouscron
1,80,8571,10001,0,0,1,2008/2009,KVC Westerlo,KV Kortrijk
0,81,9993,4049,2,0,1,2008/2009,Tubize,Beerschot AC
0,82,9993,9987,4,1,1,2008/2009,KRC Genk,Beerschot AC
0,83,9994,10000,2,1,1,2008/2009,SV Zulte-Waregem,Sporting Lokeren
3,84,8635,9984,1,2,1,2008/2009,KSV Cercle Brugge,RSC Anderlecht
3,85,9998,9991,1,2,1,2008/2009,KAA Gent,RAEC Mons
0,86,9985,7947,3,2,1,2008/2009,FCV Dender EH,Standard de Liège
0,87,8342,8203,3,0,1,2008/2009,KV Mechelen,Club Brugge KV
0,88,8571,9999,2,1,1,2008/2009,KSV Roeselare,KV Kortrijk
1,89,9996,4049,1,1,1,2008/2009,Tubize,Royal Excel Mouscron
3,90,9986,10001,1,2,1,2008/2009,KVC Westerlo,Sporting Charleroi
0,91,10000,8342,3,1,1,2008/2009,Club Brugge KV,SV Zulte-Waregem
3,92,9991,8635,1,2,1,2008/2009,RSC Anderlecht,KAA Gent
3,93,10001,9985,0,1,1,2008/2009,Standard de Liège,KVC Westerlo
0,94,9987,9998,2,0,1,2008/2009,RAEC Mons,KRC Genk
0,95,9999,9986,3,1,1,2008/2009,Sporting Charleroi,KSV Roeselare
0,96,4049,9994,2,1,1,2008/2009,Sporting Lokeren,Tubize
1,97,8203,9996,2,2,1,2008/2009,Royal Excel Mouscron,KV Mechelen
3,98,9984,8571,0,1,1,2008/2009,KV Kortrijk,KSV Cercle Brugge
3,99,7947,9993,0,1,1,2008/2009,Beerschot AC,FCV Dender EH
0,100,8342,10000,2,0,1,2008/2009,SV Zulte-Waregem,Club Brugge KV
1,101,8635,9991,2,2,1,2008/2009,KAA Gent,RSC Anderlecht
0,102,9985,10001,3,0,1,2008/2009,KVC Westerlo,Standard de Liège
0,103,9998,9987,3,1,1,2008/2009,KRC Genk,RAEC Mons
0,104,9986,9999,1,0,1,2008/2009,KSV Roeselare,Sporting Charleroi
0,105,9994,4049,4,1,1,2008/2009,Tubize,Sporting Lokeren
0,106,9996,8203,3,1,1,2008/2009,KV Mechelen,Royal Excel Mouscron
0,107,8571,9984,2,1,1,2008/2009,KSV Cercle Brugge,KV Kortrijk
1,108,9993,7947,1,1,1,2008/2009,FCV Dender EH,Beerschot AC
3,109,8571,8635,1,3,1,2008/2009,RSC Anderlecht,KV Kortrijk
3,110,9994,9987,1,2,1,2008/2009,KRC Genk,Sporting Lokeren
1,111,9998,9984,1,1,1,2008/2009,KSV Cercle Brugge,RAEC Mons
3,112,9986,9991,2,5,1,2008/2009,KAA Gent,Sporting Charleroi
3,113,9996,7947,0,2,1,2008/2009,FCV Dender EH,Royal Excel Mouscron
1,114,10000,8203,1,1,1,2008/2009,KV Mechelen,SV Zulte-Waregem
0,115,9985,9999,3,0,1,2008/2009,KSV Roeselare,Standard de Liège
0,116,8342,4049,3,1,1,2008/2009,Tubize,Club Brugge KV
0,117,9993,10001,2,1,1,2008/2009,KVC Westerlo,Beerschot AC
3,118,7947,8342,0,2,1,2008/2009,Club Brugge KV,FCV Dender EH
3,119,8571,9985,0,2,1,2008/2009,Standard de Liège,KV Kortrijk
0,120,8635,9998,3,2,1,2008/2009,RAEC Mons,RSC Anderlecht
3,121,9987,10000,1,2,1,2008/2009,SV Zulte-Waregem,KRC Genk
1,122,9984,9986,2,2,1,2008/2009,Sporting Charleroi,KSV Cercle Brugge
0,123,10001,9994,1,0,1,2008/2009,Sporting Lokeren,KVC Westerlo
3,124,4049,8203,1,5,1,2008/2009,KV Mechelen,Tubize
0,125,9991,9996,2,0,1,2008/2009,Royal Excel Mouscron,KAA Gent
1,126,9999,9993,2,2,1,2008/2009,Beerschot AC,KSV Roeselare
3,127,9986,8635,0,1,1,2008/2009,RSC Anderlecht,Sporting Charleroi
3,128,8342,9987,0,2,1,2008/2009,KRC Genk,Club Brugge KV
1,129,9993,9984,1,1,1,2008/2009,KSV Cercle Brugge,Beerschot AC
1,130,8203,9991,3,3,1,2008/2009,KAA Gent,KV Mechelen
0,131,10000,7947,1,0,1,2008/2009,FCV Dender EH,SV Zulte-Waregem
0,132,9994,9999,2,1,1,2008/2009,KSV Roeselare,Sporting Lokeren
1,133,9998,8571,1,1,1,2008/2009,KV Kortrijk,RAEC Mons
0,134,9985,4049,4,0,1,2008/2009,Tubize,Standard de Liège
1,135,9996,10001,0,0,1,2008/2009,KVC Westerlo,Royal Excel Mouscron
1,136,10001,8342,1,1,1,2008/2009,Club Brugge KV,KVC Westerlo
0,137,8635,9985,4,2,1,2008/2009,Standard de Liège,RSC Anderlecht
0,138,9999,9998,3,2,1,2008/2009,RAEC Mons,KSV Roeselare
3,139,4049,10000,0,6,1,2008/2009,SV Zulte-Waregem,Tubize
1,140,8571,9986,1,1,1,2008/2009,Sporting Charleroi,KV Kortrijk
1,141,9984,9994,0,0,1,2008/2009,Sporting Lokeren,KSV Cercle Brugge
3,142,7947,8203,1,2,1,2008/2009,KV Mechelen,FCV Dender EH
1,143,9987,9996,1,1,1,2008/2009,Royal Excel Mouscron,KRC Genk
3,144,9991,9993,1,3,1,2008/2009,Beerschot AC,KAA Gent
1,145,9996,8635,1,1,1,2008/2009,RSC Anderlecht,Royal Excel Mouscron
0,146,8203,9987,2,1,1,2008/2009,KRC Genk,KV Mechelen
0,147,9986,9998,3,0,1,2008/2009,RAEC Mons,Sporting Charleroi
0,148,9985,9984,4,0,1,2008/2009,KSV Cercle Brugge,Standard de Liège
3,149,9994,9991,0,1,1,2008/2009,KAA Gent,Sporting Lokeren
0,150,8342,9999,2,1,1,2008/2009,KSV Roeselare,Club Brugge KV
0,151,9993,8571,3,0,1,2008/2009,KV Kortrijk,Beerschot AC
0,152,7947,4049,4,0,1,2008/2009,Tubize,FCV Dender EH
1,153,10000,10001,1,1,1,2008/2009,KVC Westerlo,SV Zulte-Waregem
3,154,9984,8342,1,3,1,2008/2009,Club Brugge KV,KSV Cercle Brugge
3,155,9998,9985,0,1,1,2008/2009,Standard de Liège,RAEC Mons
0,156,8635,10000,2,0,1,2008/2009,SV Zulte-Waregem,RSC Anderlecht
3,157,8571,9994,2,3,1,2008/2009,Sporting Lokeren,KV Kortrijk
0,158,9987,7947,4,3,1,2008/2009,FCV Dender EH,KRC Genk
3,159,10001,8203,0,1,1,2008/2009,KV Mechelen,KVC Westerlo
0,160,9999,9996,2,0,1,2008/2009,Royal Excel Mouscron,KSV Roeselare
0,161,9991,4049,2,0,1,2008/2009,Tubize,KAA Gent
1,162,9986,9993,0,0,1,2008/2009,Beerschot AC,Sporting Charleroi
0,163,8203,8635,2,1,1,2008/2009,RSC Anderlecht,KV Mechelen
0,164,9985,9987,2,0,1,2008/2009,KRC Genk,Standard de Liège
0,165,9993,9998,2,0,1,2008/2009,RAEC Mons,Beerschot AC
1,166,9994,9986,0,0,1,2008/2009,Sporting Charleroi,Sporting Lokeren
0,167,7947,9984,1,0,1,2008/2009,KSV Cercle Brugge,FCV Dender EH
3,168,8342,9991,1,4,1,2008/2009,KAA Gent,Club Brugge KV
1,169,10000,9999,0,0,1,2008/2009,KSV Roeselare,SV Zulte-Waregem
0,170,9996,8571,1,0,1,2008/2009,KV Kortrijk,Royal Excel Mouscron
3,171,4049,10001,1,2,1,2008/2009,KVC Westerlo,Tubize
3,172,8571,8342,2,3,1,2008/2009,Club Brugge KV,KV Kortrijk
0,173,9986,9985,1,0,1,2008/2009,Standard de Liège,Sporting Charleroi
0,174,9991,10000,1,0,1,2008/2009,SV Zulte-Waregem,KAA Gent
3,175,9998,9994,0,2,1,2008/2009,Sporting Lokeren,RAEC Mons
0,176,10001,7947,3,1,1,2008/2009,FCV Dender EH,KVC Westerlo
0,177,9999,8203,1,0,1,2008/2009,KV Mechelen,KSV Roeselare
3,178,9984,9996,0,1,1,2008/2009,Royal Excel Mouscron,KSV Cercle Brugge
0,179,9987,4049,3,0,1,2008/2009,Tubize,KRC Genk
0,180,8635,9993,2,0,1,2008/2009,Beerschot AC,RSC Anderlecht
1,181,9994,8635,0,0,1,2008/2009,RSC Anderlecht,Sporting Lokeren
0,182,9996,9998,3,2,1,2008/2009,RAEC Mons,Royal Excel Mouscron
0,183,8342,9986,2,1,1,2008/2009,Sporting Charleroi,Club Brugge KV
0,184,10000,9984,3,1,1,2008/2009,KSV Cercle Brugge,SV Zulte-Waregem
1,185,7947,9991,1,1,1,2008/2009,KAA Gent,FCV Dender EH
3,186,4049,9999,0,1,1,2008/2009,KSV Roeselare,Tubize
1,187,8203,8571,1,1,1,2008/2009,KV Kortrijk,KV Mechelen
3,188,9987,10001,1,4,1,2008/2009,KVC Westerlo,KRC Genk
0,189,9985,9993,3,1,1,2008/2009,Beerschot AC,Standard de Liège
0,190,8635,8342,1,0,1,2008/2009,Club Brugge KV,RSC Anderlecht
0,191,9999,9987,1,0,1,2008/2009,KRC Genk,KSV Roeselare
3,192,9993,10000,1,2,1,2008/2009,SV Zulte-Waregem,Beerschot AC
0,193,9985,9994,1,0,1,2008/2009,Sporting Lokeren,Standard de Liège
3,194,8571,7947,1,2,1,2008/2009,FCV Dender EH,KV Kortrijk
3,195,9998,8203,0,1,1,2008/2009,KV Mechelen,RAEC Mons
0,196,9986,9996,1,0,1,2008/2009,Royal Excel Mouscron,Sporting Charleroi
0,197,9984,4049,4,1,1,2008/2009,Tubize,KSV Cercle Brugge
0,198,9991,10001,2,0,1,2008/2009,KVC Westerlo,KAA Gent
0,199,8635,8571,4,0,1,2008/2009,KV Kortrijk,RSC Anderlecht
0,200,9987,9994,1,0,1,2008/2009,Sporting Lokeren,KRC Genk
0,201,9984,9998,2,1,1,2008/2009,RAEC Mons,KSV Cercle Brugge
0,202,9991,9986,2,0,1,2008/2009,Sporting Charleroi,KAA Gent
3,203,7947,9996,1,2,1,2008/2009,Royal Excel Mouscron,FCV Dender EH
3,204,8203,10000,0,2,1,2008/2009,SV Zulte-Waregem,KV Mechelen
1,205,9999,9985,1,1,1,2008/2009,Standard de Liège,KSV Roeselare
3,206,4049,8342,1,4,1,2008/2009,Club Brugge KV,Tubize
0,207,10001,9993,1,0,1,2008/2009,Beerschot AC,KVC Westerlo
3,208,10001,8635,0,1,1,2008/2009,RSC Anderlecht,KVC Westerlo
3,209,9996,9985,0,3,1,2008/2009,Standard de Liège,Royal Excel Mouscron
0,210,8342,9998,3,2,1,2008/2009,RAEC Mons,Club Brugge KV
0,211,4049,9986,3,1,1,2008/2009,Sporting Charleroi,Tubize
3,212,8203,9984,0,1,1,2008/2009,KSV Cercle Brugge,KV Mechelen
1,213,9987,9991,2,2,1,2008/2009,KAA Gent,KRC Genk
0,214,7947,9999,3,1,1,2008/2009,KSV Roeselare,FCV Dender EH
0,215,10000,8571,5,1,1,2008/2009,KV Kortrijk,SV Zulte-Waregem
0,216,9994,9993,1,0,1,2008/2009,Beerschot AC,Sporting Lokeren
0,217,9993,8342,2,0,1,2008/2009,Club Brugge KV,Beerschot AC
3,218,9984,9987,1,2,1,2008/2009,KRC Genk,KSV Cercle Brugge
0,219,9986,10000,1,0,1,2008/2009,SV Zulte-Waregem,Sporting Charleroi
3,220,9999,9991,1,3,1,2008/2009,KAA Gent,KSV Roeselare
0,221,8635,7947,4,0,1,2008/2009,FCV Dender EH,RSC Anderlecht
0,222,9985,8203,4,1,1,2008/2009,KV Mechelen,Standard de Liège
0,223,9994,9996,3,0,1,2008/2009,Royal Excel Mouscron,Sporting Lokeren
1,224,8571,4049,2,2,1,2008/2009,Tubize,KV Kortrijk
3,225,9998,10001,0,2,1,2008/2009,KVC Westerlo,RAEC Mons
1,226,4049,8635,1,1,1,2008/2009,RSC Anderlecht,Tubize
1,227,10000,9985,0,0,1,2008/2009,Standard de Liège,SV Zulte-Waregem
1,228,7947,9998,0,0,1,2008/2009,RAEC Mons,FCV Dender EH
0,229,8203,9986,2,1,1,2008/2009,Sporting Charleroi,KV Mechelen
0,230,9991,9984,2,1,1,2008/2009,KSV Cercle Brugge,KAA Gent
3,231,8342,9994,2,3,1,2008/2009,Sporting Lokeren,Club Brugge KV
0,232,10001,9999,1,0,1,2008/2009,KSV Roeselare,KVC Westerlo
3,233,9987,8571,0,1,1,2008/2009,KV Kortrijk,KRC Genk
0,234,9996,9993,3,1,1,2008/2009,Beerschot AC,Royal Excel Mouscron
0,235,9985,8342,2,0,1,2008/2009,Club Brugge KV,Standard de Liège
0,236,9986,9987,3,0,1,2008/2009,KRC Genk,Sporting Charleroi
3,237,9996,10000,0,2,1,2008/2009,SV Zulte-Waregem,Royal Excel Mouscron
3,238,8571,9991,0,2,1,2008/2009,KAA Gent,KV Kortrijk
3,239,9994,7947,0,2,1,2008/2009,FCV Dender EH,Sporting Lokeren
0,240,9993,8203,3,1,1,2008/2009,KV Mechelen,Beerschot AC
0,241,8635,9999,3,1,1,2008/2009,KSV Roeselare,RSC Anderlecht
1,242,9998,4049,1,1,1,2008/2009,Tubize,RAEC Mons
0,243,9984,10001,2,1,1,2008/2009,KVC Westerlo,KSV Cercle Brugge
3,244,9987,8635,0,2,1,2008/2009,RSC Anderlecht,KRC Genk
3,245,9991,9985,0,1,1,2008/2009,Standard de Liège,KAA Gent
0,246,10000,9998,3,0,1,2008/2009,RAEC Mons,SV Zulte-Waregem
3,247,7947,9986,1,2,1,2008/2009,Sporting Charleroi,FCV Dender EH
3,248,9999,9984,1,2,1,2008/2009,KSV Cercle Brugge,KSV Roeselare
0,249,8203,9994,3,0,1,2008/2009,Sporting Lokeren,KV Mechelen
0,250,8342,9996,4,1,1,2008/2009,Royal Excel Mouscron,Club Brugge KV
3,251,10001,8571,1,3,1,2008/2009,KV Kortrijk,KVC Westerlo
0,252,4049,9993,1,0,1,2008/2009,Beerschot AC,Tubize
1,253,8342,7947,1,1,1,2008/2009,FCV Dender EH,Club Brugge KV
0,254,9985,8571,2,0,1,2008/2009,KV Kortrijk,Standard de Liège
3,255,9998,8635,1,2,1,2008/2009,RSC Anderlecht,RAEC Mons
3,256,10000,9987,1,3,1,2008/2009,KRC Genk,SV Zulte-Waregem
0,257,9986,9984,3,2,1,2008/2009,KSV Cercle Brugge,Sporting Charleroi
1,258,9994,10001,1,1,1,2008/2009,KVC Westerlo,Sporting Lokeren
1,259,8203,4049,0,0,1,2008/2009,Tubize,KV Mechelen
0,260,9996,9991,4,2,1,2008/2009,KAA Gent,Royal Excel Mouscron
0,261,9993,9999,3,0,1,2008/2009,KSV Roeselare,Beerschot AC
0,262,8635,9986,2,0,1,2008/2009,Sporting Charleroi,RSC Anderlecht
3,263,9987,8342,0,1,1,2008/2009,Club Brugge KV,KRC Genk
0,264,9984,9993,1,0,1,2008/2009,Beerschot AC,KSV Cercle Brugge
3,265,9991,8203,1,2,1,2008/2009,KV Mechelen,KAA Gent
0,266,7947,10000,2,0,1,2008/2009,SV Zulte-Waregem,FCV Dender EH
3,267,9999,9994,0,1,1,2008/2009,Sporting Lokeren,KSV Roeselare
0,268,8571,9998,1,0,1,2008/2009,RAEC Mons,KV Kortrijk
3,269,4049,9985,0,1,1,2008/2009,Standard de Liège,Tubize
1,270,10001,9996,0,0,1,2008/2009,Royal Excel Mouscron,KVC Westerlo
0,271,8342,10001,2,0,1,2008/2009,KVC Westerlo,Club Brugge KV
0,272,9985,8635,2,1,1,2008/2009,RSC Anderlecht,Standard de Liège
0,273,9998,9999,2,0,1,2008/2009,KSV Roeselare,RAEC Mons
0,274,10000,4049,1,0,1,2008/2009,Tubize,SV Zulte-Waregem
3,275,9986,8571,1,2,1,2008/2009,KV Kortrijk,Sporting Charleroi
1,276,9994,9984,1,1,1,2008/2009,KSV Cercle Brugge,Sporting Lokeren
0,277,8203,7947,4,1,1,2008/2009,FCV Dender EH,KV Mechelen
3,278,9996,9987,1,2,1,2008/2009,KRC Genk,Royal Excel Mouscron
1,279,9993,9991,2,2,1,2008/2009,KAA Gent,Beerschot AC
0,280,8635,9996,2,1,1,2008/2009,Royal Excel Mouscron,RSC Anderlecht
0,281,9987,8203,2,1,1,2008/2009,KV Mechelen,KRC Genk
1,282,9998,9986,1,1,1,2008/2009,Sporting Charleroi,RAEC Mons
0,283,9984,9985,4,1,1,2008/2009,Standard de Liège,KSV Cercle Brugge
1,284,9991,9994,1,1,1,2008/2009,Sporting Lokeren,KAA Gent
3,285,9999,8342,0,1,1,2008/2009,Club Brugge KV,KSV Roeselare
1,286,8571,9993,0,0,1,2008/2009,Beerschot AC,KV Kortrijk
0,287,4049,7947,2,1,1,2008/2009,FCV Dender EH,Tubize
0,288,10001,10000,3,2,1,2008/2009,SV Zulte-Waregem,KVC Westerlo
0,289,8342,9984,3,1,1,2008/2009,KSV Cercle Brugge,Club Brugge KV
0,290,9985,9998,2,1,1,2008/2009,RAEC Mons,Standard de Liège
0,291,10000,8635,4,0,1,2008/2009,RSC Anderlecht,SV Zulte-Waregem
0,292,9994,8571,2,0,1,2008/2009,KV Kortrijk,Sporting Lokeren
3,293,7947,9987,2,4,1,2008/2009,KRC Genk,FCV Dender EH
3,294,8203,10001,1,3,1,2008/2009,KVC Westerlo,KV Mechelen
0,295,9996,9999,2,0,1,2008/2009,KSV Roeselare,Royal Excel Mouscron
3,296,4049,9991,0,1,1,2008/2009,KAA Gent,Tubize
3,297,9993,9986,1,2,1,2008/2009,Sporting Charleroi,Beerschot AC
0,298,8635,8203,7,1,1,2008/2009,KV Mechelen,RSC Anderlecht
1,299,9987,9985,0,0,1,2008/2009,Standard de Liège,KRC Genk
1,300,9998,9993,0,0,1,2008/2009,Beerschot AC,RAEC Mons
1,301,9986,9994,1,1,1,2008/2009,Sporting Lokeren,Sporting Charleroi
3,302,9984,7947,1,2,1,2008/2009,FCV Dender EH,KSV Cercle Brugge
0,303,9991,8342,3,0,1,2008/2009,Club Brugge KV,KAA Gent
3,304,9999,10000,0,3,1,2008/2009,SV Zulte-Waregem,KSV Roeselare
1,305,8571,9996,2,2,1,2008/2009,Royal Excel Mouscron,KV Kortrijk
0,306,10001,4049,4,1,1,2008/2009,Tubize,KVC Westerlo
1,307,9985,9997,2,2,1,2009/2010,Sint-Truidense VV,Standard de Liège
3,308,9986,8342,1,2,1,2009/2010,Club Brugge KV,Sporting Charleroi
3,309,9984,9991,1,3,1,2009/2010,KAA Gent,KSV Cercle Brugge
1,310,9994,10000,1,1,1,2009/2010,SV Zulte-Waregem,Sporting Lokeren
3,311,8571,8635,0,2,1,2009/2010,RSC Anderlecht,KV Kortrijk
0,312,8203,10001,4,1,1,2009/2010,KVC Westerlo,KV Mechelen
1,313,9999,9993,1,1,1,2009/2010,Beerschot AC,KSV Roeselare
0,314,8342,8635,4,2,1,2009/2010,RSC Anderlecht,Club Brugge KV
0,315,9985,9987,1,0,1,2009/2010,KRC Genk,Standard de Liège
3,316,9997,10000,1,2,1,2009/2010,SV Zulte-Waregem,Sint-Truidense VV
1,317,9986,8571,3,3,1,2009/2010,KV Kortrijk,Sporting Charleroi
0,318,8203,9994,2,0,1,2009/2010,Sporting Lokeren,KV Mechelen
0,319,9999,9984,3,2,1,2009/2010,KSV Cercle Brugge,KSV Roeselare
0,320,9993,10001,3,1,1,2009/2010,KVC Westerlo,Beerschot AC
0,321,8342,9991,1,0,1,2009/2010,KAA Gent,Club Brugge KV
0,322,8635,9986,2,0,1,2009/2010,Sporting Charleroi,RSC Anderlecht
3,323,9987,8203,1,2,1,2009/2010,KV Mechelen,KRC Genk
0,324,10000,9993,4,0,1,2009/2010,Beerschot AC,SV Zulte-Waregem
1,325,9994,9984,1,1,1,2009/2010,KSV Cercle Brugge,Sporting Lokeren
0,326,8571,9999,2,0,1,2009/2010,KSV Roeselare,KV Kortrijk
0,327,10001,9985,2,0,1,2009/2010,Standard de Liège,KVC Westerlo
1,328,9985,10000,1,1,1,2009/2010,SV Zulte-Waregem,Standard de Liège
3,329,9997,9991,1,2,1,2009/2010,KAA Gent,Sint-Truidense VV
1,330,9986,10001,1,1,1,2009/2010,KVC Westerlo,Sporting Charleroi
1,331,9984,8571,1,1,1,2009/2010,KV Kortrijk,KSV Cercle Brugge
3,332,9994,9987,0,2,1,2009/2010,KRC Genk,Sporting Lokeren
3,333,8203,8635,0,2,1,2009/2010,RSC Anderlecht,KV Mechelen
3,334,9999,8342,2,3,1,2009/2010,Club Brugge KV,KSV Roeselare
0,335,8342,9997,1,0,1,2009/2010,Sint-Truidense VV,Club Brugge KV
0,336,8635,9994,2,0,1,2009/2010,Sporting Lokeren,RSC Anderlecht
0,337,9987,9984,2,0,1,2009/2010,KSV Cercle Brugge,KRC Genk
1,338,10000,9986,2,2,1,2009/2010,Sporting Charleroi,SV Zulte-Waregem
3,339,9991,9993,0,1,1,2009/2010,Beerschot AC,KAA Gent
0,340,8571,8203,2,0,1,2009/2010,KV Mechelen,KV Kortrijk
1,341,10001,9999,2,2,1,2009/2010,KSV Roeselare,KVC Westerlo
0,342,9985,8342,3,1,1,2009/2010,Club Brugge KV,Standard de Liège
3,343,9987,8635,0,2,1,2009/2010,RSC Anderlecht,KRC Genk
3,344,9986,9991,0,2,1,2009/2010,KAA Gent,Sporting Charleroi
0,345,9984,10001,2,1,1,2009/2010,KVC Westerlo,KSV Cercle Brugge
